"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.01,3422
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.025,3434
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.05,3454
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.1,3494
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.15,3535
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.2,3576
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.25,3595
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.3,3614
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.35,3633
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.4,3652
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.45,3694
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.5,3736
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.55,3778
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.6,3820
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.65,3840
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.7,3859
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.75,3879
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.8,3899
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.85,3942
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.9,3985
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.95,4028
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.975,4050
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.99,4063
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.01,3216
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.025,3279
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.05,3331
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.1,3404
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.15,3464
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.2,3514
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.25,3557
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.3,3598
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.35,3636
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.4,3672
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.45,3705
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.5,3736
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.55,3766
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.6,3799
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.65,3838
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.7,3877
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.75,3919
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.8,3966
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.85,4020
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.9,4087
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.95,4168
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.975,4226
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.99,4296
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.01,3083
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.025,3160
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.05,3241
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.1,3341
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.15,3413
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.2,3470
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.25,3521
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.3,3568
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.35,3611
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.4,3653
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.45,3694
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.5,3736
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.55,3776
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.6,3819
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.65,3861
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.7,3906
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.75,3955
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.8,4009
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.85,4069
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.9,4151
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.95,4264
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.975,4355
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","quantile",0.99,4454
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.01,2979
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.025,3075
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.05,3170
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.1,3286
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.15,3368
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.2,3435
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.25,3493
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.3,3546
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.35,3596
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.4,3643
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.45,3690
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.5,3736
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.55,3781
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.6,3829
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.65,3878
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.7,3929
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.75,3987
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.8,4050
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.85,4123
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.9,4212
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.95,4347
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.975,4461
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","quantile",0.99,4588
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","point",NA,3736
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","point",NA,3736
"2022-04-25","3 wk ahead inc flu hosp","2022-05-14","US","point",NA,3736
"2022-04-25","4 wk ahead inc flu hosp","2022-05-21","US","point",NA,3736
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","01","quantile",0.01,19
